Date,Time,Open,High,Low,Close,Volume
20100101,00:00:00,1.43216,1.43305,1.43178,1.43286,1444
20100101,01:00:00,1.43290,1.43303,1.43211,1.43283,1420
20100101,02:00:00,1.43283,1.43303,1.43224,1.43276,2188
20100101,03:00:00,1.43287,1.43305,1.43206,1.43249,2004
20100101,04:00:00,1.43279,1.43305,1.43218,1.43278,2508
20100101,05:00:00,1.43285,1.43306,1.43181,1.43209,3284
20100101,06:00:00,1.43218,1.43302,1.43182,1.43236,2628
20100101,07:00:00,1.43237,1.43306,1.43199,1.43303,2648
20100101,08:00:00,1.43283,1.43335,1.43268,1.43286,3140
20100101,09:00:00,1.43328,1.43346,1.43226,1.43324,3940
20100101,10:00:00,1.43297,1.43335,1.43218,1.43308,4612
20100101,11:00:00,1.43325,1.43343,1.43218,1.43321,5080
20100101,12:00:00,1.43322,1.43346,1.43263,1.43325,5016
20100101,13:00:00,1.43327,1.43343,1.43267,1.43306,3472
20100101,14:00:00,1.43321,1.43344,1.43258,1.43293,3572
20100101,15:00:00,1.43284,1.43352,1.43207,1.43331,3520
20100101,16:00:00,1.43279,1.43354,1.43259,1.43308,4004
20100101,17:00:00,1.43337,1.43354,1.43316,1.43337,4356
20100101,18:00:00,1.43337,1.43354,1.43225,1.43326,4196
20100101,19:00:00,1.43335,1.43356,1.43236,1.43284,3604
20100101,20:00:00,1.43283,1.43353,1.43241,1.43331,3044
20100101,21:00:00,1.43335,1.43353,1.43315,1.43342,3096
20100101,22:00:00,1.43331,1.43353,1.43316,1.43352,3468
20100101,23:00:00,1.43333,1.43356,1.43315,1.43335,3492
20100104,00:00:00,1.43024,1.43359,1.42951,1.43244,1528
20100104,01:00:00,1.43233,1.43334,1.43132,1.43141,1496
20100104,02:00:00,1.43143,1.43199,1.42870,1.42886,1508
20100104,03:00:00,1.42868,1.42885,1.42559,1.42693,1480
20100104,04:00:00,1.42712,1.43022,1.42674,1.42941,3376
20100104,05:00:00,1.42933,1.42969,1.42683,1.42832,3616
20100104,06:00:00,1.42842,1.43026,1.42803,1.42889,3132
20100104,07:00:00,1.42884,1.43116,1.42849,1.42987,3196
20100104,08:00:00,1.43021,1.43122,1.42768,1.42944,3556
20100104,09:00:00,1.42944,1.43070,1.42664,1.43028,4072
20100104,10:00:00,1.43038,1.43391,1.42972,1.43337,4348
20100104,11:00:00,1.43348,1.43939,1.43292,1.43921,4016
20100104,12:00:00,1.43932,1.43998,1.43699,1.43760,3732
20100104,13:00:00,1.43744,1.44170,1.43719,1.43885,3360
20100104,14:00:00,1.43887,1.44049,1.43843,1.43954,3340
20100104,15:00:00,1.43957,1.44327,1.43843,1.44205,5148
20100104,16:00:00,1.44212,1.44490,1.44172,1.44254,5132
20100104,17:00:00,1.44220,1.44556,1.44005,1.44369,4760
20100104,18:00:00,1.44366,1.44409,1.44145,1.44163,3976
20100104,19:00:00,1.44164,1.44212,1.44096,1.44142,3064
20100104,20:00:00,1.44127,1.44279,1.44076,1.44110,2508
20100104,21:00:00,1.44110,1.44271,1.44094,1.44107,2596
20100104,22:00:00,1.44098,1.44215,1.44044,1.44105,3344
20100104,23:00:00,1.44094,1.44144,1.44001,1.44120,2712
20100105,00:00:00,1.44112,1.44202,1.44053,1.44109,2036
20100105,01:00:00,1.44088,1.44247,1.44030,1.44244,2148
20100105,02:00:00,1.44238,1.44395,1.44106,1.44172,1384
20100105,03:00:00,1.44169,1.44317,1.44135,1.44188,1516
20100105,04:00:00,1.44165,1.44198,1.44034,1.44099,3520
20100105,05:00:00,1.44141,1.44274,1.44096,1.44213,3632
20100105,06:00:00,1.44213,1.44412,1.44156,1.44263,3072
20100105,07:00:00,1.44218,1.44733,1.44134,1.44614,3132
20100105,08:00:00,1.44623,1.44756,1.44437,1.44738,3384
20100105,09:00:00,1.44761,1.44834,1.44443,1.44508,4272
20100105,10:00:00,1.44508,1.44535,1.44032,1.44172,4112
20100105,11:00:00,1.44191,1.44393,1.44126,1.44303,4152
20100105,12:00:00,1.44303,1.44366,1.44098,1.44172,3748
20100105,13:00:00,1.44168,1.44250,1.43971,1.44167,3344
20100105,14:00:00,1.44154,1.44544,1.44143,1.44365,3464
20100105,15:00:00,1.44367,1.44453,1.44177,1.44259,5060
20100105,16:00:00,1.44226,1.44269,1.43864,1.44029,5056
20100105,17:00:00,1.44042,1.44328,1.43993,1.44145,4600
20100105,18:00:00,1.44130,1.44237,1.43835,1.43989,3856
20100105,19:00:00,1.44001,1.44057,1.43809,1.43901,3036
20100105,20:00:00,1.43904,1.43924,1.43445,1.43628,2572
20100105,21:00:00,1.43610,1.43689,1.43451,1.43684,2692
20100105,22:00:00,1.43685,1.43729,1.43619,1.43663,3448
20100105,23:00:00,1.43663,1.43726,1.43606,1.43639,2612
20100106,00:00:00,1.43630,1.43668,1.43562,1.43592,2016
20100106,01:00:00,1.43590,1.43699,1.43466,1.43634,2248
20100106,02:00:00,1.43638,1.43653,1.43323,1.43460,1492
20100106,03:00:00,1.43448,1.43676,1.43385,1.43676,1528
20100106,04:00:00,1.43670,1.43686,1.43398,1.43574,3304
20100106,05:00:00,1.43564,1.43628,1.43460,1.43532,3848
20100106,06:00:00,1.43544,1.43617,1.43491,1.43547,3224
20100106,07:00:00,1.43540,1.43585,1.43423,1.43535,3312
20100106,08:00:00,1.43535,1.43576,1.42885,1.43112,3348
20100106,09:00:00,1.43096,1.43329,1.42807,1.43281,4096
20100106,10:00:00,1.43288,1.43505,1.43242,1.43486,4424
20100106,11:00:00,1.43514,1.43825,1.43456,1.43769,4088
20100106,12:00:00,1.43755,1.43787,1.43499,1.43751,3920
20100106,13:00:00,1.43749,1.43786,1.43432,1.43472,3556
20100106,14:00:00,1.43475,1.43596,1.43323,1.43549,3520
20100106,15:00:00,1.43547,1.43727,1.43415,1.43577,5108
20100106,16:00:00,1.43567,1.43660,1.43415,1.43535,4944
20100106,17:00:00,1.43525,1.43921,1.43485,1.43865,4732
20100106,18:00:00,1.43869,1.44159,1.43805,1.44064,4108
20100106,19:00:00,1.44062,1.44063,1.43855,1.44030,3092
20100106,20:00:00,1.44030,1.44051,1.43812,1.43969,2592
20100106,21:00:00,1.43982,1.44342,1.43967,1.44068,2476
20100106,22:00:00,1.44079,1.44129,1.43998,1.44113,3496
20100106,23:00:00,1.44106,1.44167,1.44015,1.44062,2532
20100107,00:00:00,1.44053,1.44122,1.43894,1.43993,1888
20100107,01:00:00,1.44005,1.44070,1.43903,1.44005,2352
20100107,02:00:00,1.44008,1.44432,1.43989,1.44223,1636
20100107,03:00:00,1.44226,1.44267,1.44101,1.44229,1472
20100107,04:00:00,1.44221,1.44257,1.43912,1.44029,3408
20100107,05:00:00,1.44033,1.44105,1.43922,1.44032,3812
20100107,06:00:00,1.44036,1.44159,1.43924,1.43987,3008
20100107,07:00:00,1.43981,1.44036,1.43788,1.43893,3180
20100107,08:00:00,1.43882,1.43933,1.43553,1.43668,3552
