Date,Time,Open,High,Low,Close,Volume
20100101,00:00:00,1.24059,1.24128,1.23455,1.23543,476
20100101,01:00:00,1.23548,1.23571,1.23453,1.23525,1212
20100101,02:00:00,1.23543,1.23589,1.23479,1.23493,1824
20100101,03:00:00,1.23489,1.23595,1.23455,1.23552,1332
20100101,04:00:00,1.23533,1.23580,1.23344,1.23521,2208
20100101,05:00:00,1.23547,1.23588,1.23395,1.23518,560
20100101,06:00:00,1.23555,1.23585,1.23450,1.23556,916
20100101,07:00:00,1.23557,1.23588,1.23445,1.23520,844
20100101,08:00:00,1.23490,1.23573,1.23444,1.23512,904
20100101,09:00:00,1.23549,1.23569,1.23402,1.23459,2232
20100101,10:00:00,1.23555,1.23581,1.23411,1.23550,1352
20100101,11:00:00,1.23504,1.23581,1.23477,1.23538,1224
20100101,12:00:00,1.23554,1.23562,1.23457,1.23483,1300
20100101,13:00:00,1.23532,1.23584,1.23431,1.23478,1232
20100101,14:00:00,1.23495,1.23572,1.23436,1.23556,2324
20100101,15:00:00,1.23564,1.23568,1.23400,1.23463,4104
20100101,16:00:00,1.23516,1.23519,1.23384,1.23423,1740
20100101,17:00:00,1.23457,1.23525,1.23424,1.23434,1396
20100101,18:00:00,1.23451,1.23517,1.23411,1.23440,1012
20100101,19:00:00,1.23443,1.23536,1.23421,1.23433,696
20100101,20:00:00,1.23462,1.23485,1.23350,1.23446,1108
20100101,21:00:00,1.23478,1.23524,1.23408,1.23439,2516
20100101,22:00:00,1.23456,1.23526,1.23417,1.23508,420
20100101,23:00:00,1.23468,1.23531,1.23396,1.23439,380
20100104,00:00:00,1.23995,1.24120,1.23825,1.23980,972
20100104,01:00:00,1.23990,1.24040,1.23835,1.23910,3496
20100104,02:00:00,1.23925,1.24275,1.23890,1.24215,5632
20100104,03:00:00,1.24225,1.24340,1.24085,1.24295,5976
20100104,04:00:00,1.24295,1.24370,1.24130,1.24325,3720
20100104,05:00:00,1.24335,1.24460,1.24295,1.24390,2512
20100104,06:00:00,1.24405,1.24405,1.24260,1.24355,2772
20100104,07:00:00,1.24355,1.24395,1.24290,1.24325,1952
20100104,08:00:00,1.24335,1.24415,1.24255,1.24415,3032
20100104,09:00:00,1.24425,1.24620,1.24340,1.24455,6364
20100104,10:00:00,1.24450,1.24520,1.24285,1.24400,7228
20100104,11:00:00,1.24395,1.24620,1.24395,1.24575,6476
20100104,12:00:00,1.24570,1.24630,1.24115,1.24285,6392
20100104,13:00:00,1.24295,1.24455,1.24150,1.24240,6660
20100104,14:00:00,1.24240,1.24460,1.24235,1.24385,2144
20100104,15:00:00,1.24380,1.24570,1.24325,1.24555,7696
20100104,16:00:00,1.24565,1.24595,1.24325,1.24335,8296
20100104,17:00:00,1.24325,1.24520,1.24260,1.24465,11780
20100104,18:00:00,1.24465,1.24655,1.24320,1.24640,5192
20100104,19:00:00,1.24640,1.24660,1.24441,1.24510,2172
20100104,20:00:00,1.24525,1.24565,1.24160,1.24220,3296
20100104,21:00:00,1.24190,1.24240,1.24025,1.24185,3512
20100104,22:00:00,1.24190,1.24330,1.24165,1.24270,3788
20100104,23:00:00,1.24265,1.24390,1.24130,1.24235,1532
20100105,00:00:00,1.24240,1.24305,1.24140,1.24210,928
20100105,01:00:00,1.24150,1.24315,1.24130,1.24285,2128
20100105,02:00:00,1.24240,1.24565,1.24150,1.24165,4732
20100105,03:00:00,1.24165,1.24525,1.24120,1.24410,4252
20100105,04:00:00,1.24400,1.24490,1.24310,1.24410,2508
20100105,05:00:00,1.24410,1.24505,1.24320,1.24475,1776
20100105,06:00:00,1.24475,1.24600,1.24440,1.24475,2816
20100105,07:00:00,1.24450,1.24525,1.24290,1.24295,3536
20100105,08:00:00,1.24295,1.24455,1.24295,1.24385,5832
20100105,09:00:00,1.24385,1.24425,1.24285,1.24395,7712
20100105,10:00:00,1.24390,1.24465,1.24215,1.24430,13052
20100105,11:00:00,1.24430,1.24450,1.24220,1.24260,6892
20100105,12:00:00,1.24260,1.24445,1.24240,1.24265,4808
20100105,13:00:00,1.24265,1.24460,1.24210,1.24270,5724
20100105,14:00:00,1.24275,1.24320,1.24050,1.24200,4888
20100105,15:00:00,1.24200,1.24360,1.24145,1.24310,6924
20100105,16:00:00,1.24290,1.24375,1.24155,1.24165,5624
20100105,17:00:00,1.24165,1.24200,1.24015,1.24040,5036
20100105,18:00:00,1.24035,1.24535,1.24025,1.24305,6296
20100105,19:00:00,1.24305,1.24305,1.24205,1.24205,2656
20100105,20:00:00,1.24205,1.24245,1.24120,1.24135,4080
20100105,21:00:00,1.24135,1.24265,1.23974,1.24095,3600
20100105,22:00:00,1.24095,1.24185,1.24070,1.24185,4236
20100105,23:00:00,1.24185,1.24215,1.24040,1.24110,956
20100106,00:00:00,1.24110,1.24290,1.24025,1.24245,1172
20100106,01:00:00,1.24250,1.24350,1.24226,1.24245,1296
20100106,02:00:00,1.24245,1.24580,1.24230,1.24505,3004
20100106,03:00:00,1.24510,1.24640,1.24365,1.24580,3344
20100106,04:00:00,1.24585,1.24595,1.24435,1.24455,2276
20100106,05:00:00,1.24455,1.24505,1.24269,1.24450,2272
20100106,06:00:00,1.24455,1.24520,1.24420,1.24465,2280
20100106,07:00:00,1.24470,1.24595,1.24430,1.24560,2804
20100106,08:00:00,1.24560,1.24675,1.24415,1.24625,3984
20100106,09:00:00,1.24635,1.24645,1.24465,1.24595,7208
20100106,10:00:00,1.24595,1.24740,1.24565,1.24600,6828
20100106,11:00:00,1.24610,1.24745,1.24595,1.24605,5952
20100106,12:00:00,1.24605,1.24705,1.24590,1.24675,4440
20100106,13:00:00,1.24675,1.24900,1.24605,1.24845,5612
20100106,14:00:00,1.24835,1.24870,1.24665,1.24715,5076
20100106,15:00:00,1.24715,1.24915,1.24670,1.24865,8332
20100106,16:00:00,1.24865,1.24965,1.24810,1.24840,11008
20100106,17:00:00,1.24840,1.25065,1.24780,1.24910,10976
20100106,18:00:00,1.24925,1.25085,1.24820,1.24920,10948
20100106,19:00:00,1.24920,1.24995,1.24820,1.24820,1784
20100106,20:00:00,1.24820,1.24920,1.24760,1.24780,2140
20100106,21:00:00,1.24820,1.24925,1.24670,1.24670,5904
20100106,22:00:00,1.24670,1.24740,1.24578,1.24595,2156
20100106,23:00:00,1.24595,1.24690,1.24510,1.24600,1144
20100107,00:00:00,1.24580,1.24735,1.24470,1.24690,1184
20100107,01:00:00,1.24695,1.24735,1.24575,1.24645,1864
20100107,02:00:00,1.24640,1.24850,1.24535,1.24790,5420
20100107,03:00:00,1.24780,1.24940,1.24760,1.24925,1968
20100107,04:00:00,1.24930,1.25055,1.24830,1.24835,4896
20100107,05:00:00,1.24835,1.24920,1.24830,1.24910,1984
20100107,06:00:00,1.24910,1.24960,1.24840,1.24860,2196
20100107,07:00:00,1.24855,1.24965,1.24750,1.24890,3992
20100107,08:00:00,1.24855,1.24945,1.24765,1.24880,4544
20100107,09:00:00,1.24885,1.24940,1.24780,1.24890,7448
20100107,10:00:00,1.24895,1.25100,1.24825,1.24945,7240
20100107,11:00:00,1.24945,1.25005,1.24915,1.24945,4652
20100107,12:00:00,1.24935,1.25305,1.24915,1.25185,7772
20100107,13:00:00,1.25195,1.25275,1.25155,1.25190,4816
20100107,14:00:00,1.25185,1.25275,1.25130,1.25245,4344
20100107,15:00:00,1.25250,1.25275,1.25100,1.25240,7756
20100107,16:00:00,1.25250,1.25290,1.25140,1.25205,8096
20100107,17:00:00,1.25205,1.25305,1.25135,1.25175,10100
20100107,18:00:00,1.25185,1.25245,1.25065,1.25125,6628
20100107,19:00:00,1.25145,1.25170,1.24985,1.25125,2244
20100107,20:00:00,1.25125,1.25260,1.25035,1.25145,1448
