Date,Time,Open,High,Low,Close,Volume
20100101,00:00:00,0.89418,0.89420,0.89413,0.89418,1130
20100101,01:00:00,0.89418,0.89421,0.89404,0.89412,1847
20100101,02:00:00,0.89725,0.89737,0.89713,0.89729,2961
20100101,03:00:00,0.89729,0.89737,0.89723,0.89728,4219
20100101,04:00:00,0.89728,0.89737,0.89724,0.89729,3165
20100101,05:00:00,0.89729,0.89737,0.89724,0.89729,1709
20100101,06:00:00,0.89729,0.89737,0.89725,0.89734,1513
20100101,07:00:00,0.89737,0.89737,0.89719,0.89731,2708
20100101,08:00:00,0.89732,0.89737,0.89725,0.89732,2669
20100101,09:00:00,0.89732,0.89740,0.89721,0.89735,4661
20100101,10:00:00,0.89735,0.89742,0.89729,0.89734,5947
20100101,11:00:00,0.89734,0.89745,0.89729,0.89739,4874
20100101,12:00:00,0.89739,0.89745,0.89731,0.89738,5738
20100101,13:00:00,0.89738,0.89745,0.89728,0.89738,3634
20100101,14:00:00,0.89738,0.89745,0.89731,0.89736,2367
20100101,15:00:00,0.89736,0.89745,0.89728,0.89741,4719
20100101,16:00:00,0.89738,0.89745,0.89729,0.89738,4064
20100101,17:00:00,0.89736,0.89745,0.89724,0.89741,6925
20100101,18:00:00,0.89743,0.89743,0.89730,0.89736,4028
20100101,19:00:00,0.89736,0.89743,0.89728,0.89738,1731
20100101,20:00:00,0.89736,0.89743,0.89728,0.89736,1643
20100101,21:00:00,0.89738,0.89743,0.89725,0.89733,2708
20100101,22:00:00,0.89732,0.89745,0.89731,0.89738,2014
20100101,23:00:00,0.89733,0.89743,0.89722,0.89722,1630
20100104,00:00:00,0.89823,0.89970,0.89814,0.89937,385
20100104,01:00:00,0.89932,0.89966,0.89713,0.89713,1006
20100104,02:00:00,0.89716,0.89829,0.89613,0.89641,2210
20100104,03:00:00,0.89646,0.89653,0.89379,0.89511,2309
20100104,04:00:00,0.89506,0.89663,0.89506,0.89618,1129
20100104,05:00:00,0.89623,0.89658,0.89486,0.89641,490
20100104,06:00:00,0.89636,0.89738,0.89616,0.89686,594
20100104,07:00:00,0.89676,0.89846,0.89656,0.89776,604
20100104,08:00:00,0.89771,0.89826,0.89671,0.89826,1109
20100104,09:00:00,0.89828,0.90076,0.89748,0.90046,2593
20100104,10:00:00,0.90051,0.90451,0.90036,0.90376,3754
20100104,11:00:00,0.90374,0.90546,0.90326,0.90541,3112
20100104,12:00:00,0.90536,0.90676,0.90411,0.90441,2785
20100104,13:00:00,0.90443,0.90636,0.90421,0.90561,2275
20100104,14:00:00,0.90562,0.90637,0.90506,0.90576,1605
20100104,15:00:00,0.90577,0.90851,0.90536,0.90805,2935
20100104,16:00:00,0.90806,0.90896,0.90785,0.90785,3325
20100104,17:00:00,0.90810,0.91356,0.90761,0.91351,6461
20100104,18:00:00,0.91348,0.91366,0.91216,0.91313,3206
20100104,19:00:00,0.91311,0.91326,0.91203,0.91209,1179
20100104,20:00:00,0.91211,0.91276,0.91183,0.91243,927
20100104,21:00:00,0.91241,0.91268,0.91116,0.91134,1141
20100104,22:00:00,0.91136,0.91316,0.91116,0.91246,1025
20100104,23:00:00,0.91248,0.91356,0.91228,0.91258,974
20100105,00:00:00,0.91243,0.91310,0.91181,0.91216,335
20100105,01:00:00,0.91209,0.91271,0.91161,0.91239,737
20100105,02:00:00,0.91246,0.91626,0.91241,0.91401,2380
20100105,03:00:00,0.91398,0.91431,0.91206,0.91306,1781
20100105,04:00:00,0.91301,0.91306,0.91146,0.91228,1264
20100105,05:00:00,0.91233,0.91308,0.91186,0.91231,938
20100105,06:00:00,0.91232,0.91428,0.91206,0.91311,2015
20100105,07:00:00,0.91299,0.91551,0.91241,0.91431,2230
20100105,08:00:00,0.91432,0.91568,0.91326,0.91533,2406
