Date,Time,Open,High,Low,Close,Volume
20100101,00:00:00,133.230,133.310,133.210,133.210,332
20100101,01:00:00,133.280,133.310,133.210,133.260,340
20100101,02:00:00,133.257,133.291,133.187,133.202,7224
20100101,03:00:00,133.225,133.276,133.190,133.262,3512
20100101,04:00:00,133.257,133.284,133.199,133.267,7188
20100101,05:00:00,133.260,133.287,133.199,133.199,8676
20100101,06:00:00,133.200,133.290,133.195,133.253,13228
20100101,07:00:00,133.267,133.286,133.205,133.267,14348
20100101,08:00:00,133.270,133.314,133.219,133.292,13512
20100101,09:00:00,133.280,133.311,133.207,133.262,25340
20100101,10:00:00,133.288,133.308,133.200,133.207,19308
20100101,11:00:00,133.290,133.319,133.228,133.273,19956
20100101,12:00:00,133.285,133.315,133.210,133.289,17952
20100101,13:00:00,133.290,133.316,133.205,133.226,15144
20100101,14:00:00,133.225,133.315,133.205,133.267,15888
20100101,15:00:00,133.270,133.322,133.202,133.297,18152
20100101,16:00:00,133.277,133.323,133.201,133.270,18408
20100101,17:00:00,133.288,133.306,133.223,133.293,20992
20100101,18:00:00,133.301,133.303,133.190,133.212,17196
20100101,19:00:00,133.211,133.248,133.197,133.220,11316
20100101,20:00:00,133.228,133.290,133.197,133.211,9364
20100101,21:00:00,133.210,133.246,133.187,133.204,10744
20100101,22:00:00,133.203,133.239,133.188,133.229,8192
20100101,23:00:00,133.228,133.502,133.191,133.214,10712
20100104,00:00:00,132.966,133.340,132.918,133.105,4732
20100104,01:00:00,133.110,133.255,132.710,132.755,12796
20100104,02:00:00,132.755,132.985,132.640,132.735,17672
20100104,03:00:00,132.730,132.790,132.575,132.675,19372
20100104,04:00:00,132.685,132.785,132.625,132.755,14156
20100104,05:00:00,132.755,132.770,132.370,132.495,16356
20100104,06:00:00,132.495,132.620,132.465,132.520,11068
20100104,07:00:00,132.525,132.850,132.495,132.810,13832
20100104,08:00:00,132.805,133.020,132.680,133.015,23664
20100104,09:00:00,133.015,133.170,132.850,133.075,30696
20100104,10:00:00,133.075,133.170,132.925,133.105,29984
20100104,11:00:00,133.120,133.590,133.085,133.570,30052
20100104,12:00:00,133.570,133.645,133.445,133.605,25884
20100104,13:00:00,133.600,133.750,133.520,133.520,21972
20100104,14:00:00,133.520,133.785,133.500,133.675,25464
20100104,15:00:00,133.675,133.715,133.540,133.605,29872
20100104,16:00:00,133.605,133.740,133.535,133.565,34548
20100104,17:00:00,133.570,133.700,133.135,133.345,38288
