Date,Time,Open,High,Low,Close,Volume
20100101,00:00:00,150.330,150.509,150.278,150.353,2679
20100101,01:00:00,150.366,150.390,150.281,150.351,4169
20100101,02:00:00,150.357,150.385,150.286,150.300,3352
20100101,03:00:00,150.358,150.387,150.274,150.338,1797
20100101,04:00:00,150.339,150.390,150.288,150.349,2547
20100101,05:00:00,150.355,150.390,150.275,150.277,3763
20100101,06:00:00,150.293,150.383,150.278,150.307,5636
20100101,07:00:00,150.300,150.384,150.280,150.359,6982
20100101,08:00:00,150.305,150.387,150.275,150.371,7422
20100101,09:00:00,150.356,150.384,150.268,150.371,13829
20100101,10:00:00,150.363,150.388,150.271,150.289,10479
20100101,11:00:00,150.357,150.390,150.281,150.347,9895
20100101,12:00:00,150.358,150.387,150.280,150.364,9122
20100101,13:00:00,150.354,150.384,150.277,150.355,8156
20100101,14:00:00,150.362,150.384,150.279,150.313,8243
20100101,15:00:00,150.315,150.389,150.274,150.293,9981
20100101,16:00:00,150.363,150.384,150.288,150.361,9149
20100101,17:00:00,150.360,150.385,150.271,150.378,10757
20100101,18:00:00,150.361,150.384,150.278,150.290,7681
20100101,19:00:00,150.364,150.386,150.275,150.317,5064
20100101,20:00:00,150.315,150.379,150.275,150.356,3528
20100101,21:00:00,150.362,150.383,150.289,150.360,3271
20100101,22:00:00,150.366,150.386,150.283,150.368,2686
20100101,23:00:00,150.367,150.386,150.272,150.361,3374
20100104,00:00:00,149.739,150.090,149.637,149.790,3056
20100104,01:00:00,149.790,149.990,149.585,149.660,4620
20100104,02:00:00,149.660,149.875,149.445,149.755,8082
20100104,03:00:00,149.745,149.840,149.580,149.595,7977
20100104,04:00:00,149.595,149.685,149.435,149.625,5070
20100104,05:00:00,149.625,149.625,149.070,149.215,4379
20100104,06:00:00,149.235,149.310,149.145,149.215,3821
20100104,07:00:00,149.215,149.485,149.160,149.465,4697
20100104,08:00:00,149.455,149.695,149.280,149.695,7893
20100104,09:00:00,149.695,149.950,149.470,149.765,13300
20100104,10:00:00,149.760,150.110,149.695,149.975,17694
20100104,11:00:00,149.965,150.440,149.945,150.370,14908
20100104,12:00:00,150.370,150.710,150.140,150.315,14486
20100104,13:00:00,150.315,150.605,150.315,150.510,12595
20100104,14:00:00,150.510,150.535,149.845,149.940,17130
20100104,15:00:00,149.935,150.065,149.665,149.725,14866
20100104,16:00:00,149.725,149.885,149.555,149.675,14175
20100104,17:00:00,149.675,149.895,148.645,148.855,16927
20100104,18:00:00,148.855,149.230,148.780,149.070,16458
20100104,19:00:00,149.070,149.460,148.985,149.460,8391
20100104,20:00:00,149.460,149.475,149.055,149.070,7766
20100104,21:00:00,149.070,149.155,148.985,149.005,6266
20100104,22:00:00,149.000,149.060,148.895,149.055,4047
20100104,23:00:00,149.055,149.065,148.715,148.720,3420
20100105,00:00:00,148.715,148.920,148.610,148.680,2487
20100105,01:00:00,148.680,149.070,148.635,149.005,4276
20100105,02:00:00,148.990,149.140,148.695,148.735,4031
20100105,03:00:00,148.735,148.765,148.170,148.345,4598
