Date,Time,Open,High,Low,Close,Volume
20100101,00:00:00,1096.32,1096.82,1096.00,1096.07,144
20100101,01:00:00,1096.10,1096.27,1095.94,1096.09,112
20100101,02:00:00,1096.09,1096.22,1095.87,1095.88,76
20100101,03:00:00,1096.11,1096.22,1095.99,1096.12,104
20100101,04:00:00,1096.10,1096.25,1095.97,1096.08,104
20100101,05:00:00,1096.15,1096.28,1096.00,1096.08,132
20100101,06:00:00,1096.06,1096.28,1096.00,1096.17,116
20100101,07:00:00,1096.10,1096.27,1096.00,1096.07,112
20100101,08:00:00,1096.09,1096.23,1096.00,1096.12,92
20100101,09:00:00,1096.10,1096.33,1095.98,1096.14,104
20100101,10:00:00,1096.12,1096.33,1096.04,1096.12,104
20100101,11:00:00,1096.15,1096.32,1096.06,1096.14,104
20100101,12:00:00,1096.12,1096.32,1096.00,1096.09,108
20100101,13:00:00,1096.07,1096.34,1096.04,1096.14,124
20100101,14:00:00,1096.05,1096.23,1096.05,1096.11,92
20100101,15:00:00,1096.08,1096.24,1096.04,1096.11,100
20100101,16:00:00,1096.13,1096.32,1095.99,1096.10,92
20100101,17:00:00,1096.15,1096.27,1095.99,1096.10,96
20100101,18:00:00,1096.10,1096.32,1095.99,1095.99,88
20100101,19:00:00,1096.07,1096.23,1095.98,1096.05,112
20100101,20:00:00,1096.05,1096.23,1095.98,1096.00,112
20100101,21:00:00,1096.00,1096.25,1095.97,1096.09,108
20100101,22:00:00,1096.06,1096.22,1095.98,1096.08,104
20100101,23:00:00,1096.05,1096.24,1095.86,1096.10,148
20100104,00:00:00,1096.07,1097.19,1095.57,1097.19,124
20100104,01:00:00,1097.11,1099.91,1095.40,1095.40,240
20100104,02:00:00,1094.35,1096.25,1092.99,1094.26,236
20100104,03:00:00,1094.43,1095.35,1093.93,1095.13,240
20100104,04:00:00,1095.12,1098.51,1094.64,1097.63,240
20100104,05:00:00,1097.63,1098.62,1096.76,1098.35,240
20100104,06:00:00,1098.28,1101.81,1098.00,1101.19,240
20100104,07:00:00,1101.37,1103.16,1100.73,1102.35,240
20100104,08:00:00,1102.28,1103.27,1101.08,1102.18,240
20100104,09:00:00,1102.15,1103.17,1099.96,1103.17,240
20100104,10:00:00,1103.42,1110.14,1102.55,1109.41,240
20100104,11:00:00,1109.48,1113.44,1108.82,1113.30,240
20100104,12:00:00,1113.17,1114.66,1111.41,1112.56,240
20100104,13:00:00,1112.55,1118.13,1112.06,1115.88,240
20100104,14:00:00,1115.73,1116.71,1114.13,1114.38,240
20100104,15:00:00,1114.39,1117.84,1114.02,1117.36,240
20100104,16:00:00,1117.57,1123.30,1117.53,1120.35,240
20100104,17:00:00,1120.37,1123.07,1119.55,1121.58,240
20100104,18:00:00,1121.59,1122.68,1117.88,1118.16,240
20100104,19:00:00,1118.13,1118.92,1116.30,1117.00,240
20100104,20:00:00,1116.96,1117.92,1115.28,1115.94,240
20100104,21:00:00,1115.96,1118.64,1115.58,1117.17,240
20100104,22:00:00,1117.05,1120.11,1116.55,1120.11,236
20100104,23:00:00,1120.04,1121.14,1119.44,1120.87,236
20100105,00:00:00,1120.86,1121.05,1119.55,1119.70,156
20100105,01:00:00,1119.84,1122.41,1119.14,1120.42,240
20100105,02:00:00,1120.85,1122.34,1120.09,1120.68,236
20100105,03:00:00,1120.56,1121.78,1120.15,1121.34,240
20100105,04:00:00,1121.28,1121.61,1119.92,1121.08,240
20100105,05:00:00,1121.03,1123.41,1120.41,1122.10,240
20100105,06:00:00,1121.86,1123.52,1121.76,1122.43,240
