Date,Time,Open,High,Low,Close,Volume
20100101,00:00:00,1.61733,1.61733,1.61576,1.61665,3840
20100101,01:00:00,1.61665,1.61678,1.61658,1.61669,5388
20100101,02:00:00,1.61669,1.61678,1.61650,1.61668,1412
20100101,03:00:00,1.61675,1.61678,1.61635,1.61667,964
20100101,04:00:00,1.61660,1.61678,1.61655,1.61675,2400
20100101,05:00:00,1.61675,1.61681,1.61598,1.61608,3744
20100101,06:00:00,1.61675,1.61685,1.61601,1.61616,3460
20100101,07:00:00,1.61619,1.61678,1.61600,1.61667,6896
20100101,08:00:00,1.61673,1.61696,1.61613,1.61678,9956
20100101,09:00:00,1.61672,1.61686,1.61603,1.61672,16968
20100101,10:00:00,1.61672,1.61693,1.61590,1.61670,12796
20100101,11:00:00,1.61662,1.61678,1.61582,1.61667,13068
20100101,12:00:00,1.61667,1.61678,1.61598,1.61670,13228
20100101,13:00:00,1.61670,1.61678,1.61601,1.61670,10192
20100101,14:00:00,1.61670,1.61682,1.61606,1.61612,11052
20100101,15:00:00,1.61612,1.61681,1.61605,1.61670,13032
20100101,16:00:00,1.61672,1.61678,1.61662,1.61670,11644
20100101,17:00:00,1.61670,1.61678,1.61658,1.61672,12924
20100101,18:00:00,1.61672,1.61690,1.61487,1.61666,6988
20100101,19:00:00,1.61662,1.61686,1.61596,1.61600,3984
20100101,20:00:00,1.61602,1.61678,1.61596,1.61673,1912
20100101,21:00:00,1.61673,1.61678,1.61662,1.61670,2768
20100101,22:00:00,1.61670,1.61675,1.61662,1.61667,1352
20100101,23:00:00,1.61667,1.61678,1.61614,1.61614,1900
20100104,00:00:00,1.61034,1.61320,1.61023,1.61205,1480
20100104,01:00:00,1.61205,1.61520,1.61200,1.61375,3548
20100104,02:00:00,1.61370,1.61455,1.61050,1.61200,6040
20100104,03:00:00,1.61200,1.61200,1.60885,1.60900,5428
20100104,04:00:00,1.60895,1.61190,1.60880,1.61110,2400
20100104,05:00:00,1.61110,1.61120,1.60710,1.60885,2036
20100104,06:00:00,1.60905,1.61020,1.60815,1.60905,2044
20100104,07:00:00,1.60900,1.61000,1.60840,1.60945,2580
20100104,08:00:00,1.60940,1.61070,1.60720,1.60875,3684
20100104,09:00:00,1.60885,1.61110,1.60575,1.60975,12040
20100104,10:00:00,1.60975,1.61575,1.60900,1.61515,17268
20100104,11:00:00,1.61520,1.62125,1.61520,1.62045,18220
